Województwo,Łączna liczba studentów z Ukrainy zarejestrowanych po 2022-02-24,Łączna liczba studentów z Ukrainy zarejestrowanych po 2022-02-24 po raz pierwszy,"w tym na studiach stacjonarnych, dla któych język kształcenia to polski"
dolnośląskie,3858,3274,2630
kujawsko-pomorskie,1342,1246,476
lubelskie,2965,2449,2134
lubuskie,252,233,201
mazowieckie,9950,8745,5826
małopolskie,3956,3328,2575
opolskie,1052,928,801
podkarpackie,1368,1202,875
podlaskie,168,157,146
pomorskie,1620,1438,1181
warmińsko-mazurskie,169,154,144
wielkopolskie,3048,2645,2028
zachodniopomorskie,1173,1072,848
łódzkie,3956,3718,961
śląskie,2601,2369,1697
świętokrzyskie,797,675,250
